ID,Movie Name,Rating,Genre
s1,Dick Johnson Is Dead,PG-13,Documentaries
s2,Blood & Water,TV-MA,"International TV Shows, TV Dramas, TV Mysteries"
s3,Ganglands,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s4,Jailbirds New Orleans,TV-MA,"Docuseries, Reality TV"
s5,Kota Factory,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies"
s6,Midnight Mass,TV-MA,"TV Dramas, TV Horror, TV Mysteries"
s7,My Little Pony: A New Generation,PG,Children & Family Movies
s8,Sankofa,TV-MA,"Dramas, Independent Movies, International Movies"
s9,The Great British Baking Show,TV-14,"British TV Shows, Reality TV"
s10,The Starling,PG-13,"Comedies, Dramas"
s11,"Vendetta: Truth, Lies and The Mafia",TV-MA,"Crime TV Shows, Docuseries, International TV Shows"
s12,Bangkok Breaking,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s13,Je Suis Karl,TV-MA,"Dramas, International Movies"
s14,Confessions of an Invisible Girl,TV-PG,"Children & Family Movies, Comedies"
s15,Crime Stories: India Detectives,TV-MA,"British TV Shows, Crime TV Shows, Docuseries"
s16,Dear White People,TV-MA,"TV Comedies, TV Dramas"
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,TV-MA,"Documentaries, International Movies"
s18,Falsa identidad,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas"
s19,Intrusion,TV-14,Thrillers
s20,Jaguar,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV-14,"Crime TV Shows, Docuseries, International TV Shows"
s22,Resurrection: Ertugrul,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas"
s23,Avvai Shanmughi,TV-PG,"Comedies, International Movies"
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,TV-Y,Children & Family Movies
s25,Jeans,TV-14,"Comedies, International Movies, Romantic Movies"
s26,Love on the Spectrum,TV-14,"Docuseries, International TV Shows, Reality TV"
s27,Minsara Kanavu,TV-PG,"Comedies, International Movies, Music & Musicals"
s28,Grown Ups,PG-13,Comedies
s29,Dark Skies,PG-13,"Horror Movies, Sci-Fi & Fantasy"
s30,Paranoia,PG-13,Thrillers
s31,Ankahi Kahaniya,TV-14,"Dramas, Independent Movies, International Movies"
s32,Chicago Party Aunt,TV-MA,TV Comedies
s33,Sex Education,TV-MA,"British TV Shows, International TV Shows, TV Comedies"
s34,Squid Game,TV-MA,"International TV Shows, TV Dramas, TV Thrillers"
s35,Tayo and Little Wizards,TV-Y7,Kids' TV
s36,The Father Who Moves Mountains,TV-MA,"Dramas, International Movies, Thrillers"
s37,The Stronghold,TV-MA,"Action & Adventure, Dramas, International Movies"
s38,Angry Birds,TV-Y7,"Kids' TV, TV Comedies"
s39,Birth of the Dragon,PG-13,"Action & Adventure, Dramas"
s40,Chhota Bheem,TV-Y7,Kids' TV
s41,He-Man and the Masters of the Universe,TV-Y7,"Kids' TV, TV Sci-Fi & Fantasy"
s42,Jaws,PG,"Action & Adventure, Classic Movies, Dramas"
s43,Jaws 2,PG,"Dramas, Horror Movies, Thrillers"
s44,Jaws 3,PG,"Action & Adventure, Horror Movies, Thrillers"
s45,Jaws: The Revenge,PG-13,"Action & Adventure, Horror Movies, Thrillers"
